2019-10-25 15:28:37,767 | INFO | c.e.d.AuthenticationTest | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 15:28:46,204 | INFO | c.e.d.AuthenticationTest | [main] | Started AuthenticationTest in 8.859 seconds (JVM running for 10.914) | 
2019-10-25 15:28:46,643 | DEBUG | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | create user request : udacity | 
2019-10-25 15:28:46,790 | INFO | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | user creation success : with username : udacity | 
2019-10-25 15:28:47,068 | INFO | c.e.d.c.CartController | [main] | Item added to cart successfully with item id : 1 | 
2019-10-25 15:28:47,075 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 15:28:47,078 | INFO | c.e.d.c.CartController | [main] | Item removed from cart with id : 2 | 
2019-10-25 15:28:47,078 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 15:28:47,121 | INFO | c.e.d.ECommerceApplicationTests | [main] | Starting ECommerceApplicationTests on PH-MTHAKUR with PID 27700 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 15:28:47,122 | DEBUG | c.e.d.ECommerceApplicationTests | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 15:28:47,122 | INFO | c.e.d.ECommerceApplicationTests | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 15:28:49,098 | INFO | c.e.d.ECommerceApplicationTests | [main] | Started ECommerceApplicationTests in 2.004 seconds (JVM running for 13.808) | 
2019-10-25 15:28:49,116 | DEBUG | c.e.d.c.ItemController | [main] | fetching item by name : item | 
2019-10-25 15:28:49,117 | DEBUG | c.e.d.c.ItemController | [main] | fetching item with id : 1 | 
2019-10-25 15:28:49,165 | INFO | c.e.d.c.CartController | [main] | submit order success : with id : null | 
2019-10-25 15:28:49,165 | INFO | c.e.d.c.CartController | [main] | submit order failed for user username : null | 
2019-10-25 15:28:49,167 | DEBUG | c.e.d.c.CartController | [main] | get order success with username : udacity | 
2019-10-25 15:28:49,167 | INFO | c.e.d.c.CartController | [main] | get order failed for user username : null | 
2019-10-25 15:28:49,204 | DEBUG | c.e.d.c.CartController | [main] | Find user by username : udacity | 
2019-10-25 15:28:49,206 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:28:49,206 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 15:28:49,207 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:28:49,207 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 15:28:49,207 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:28:49,209 | INFO | c.e.d.c.CartController | [main] | user creation success : with username : udacity | 
2019-10-25 15:41:06,725 | INFO | c.e.d.AuthenticationTest | [main] | Starting AuthenticationTest on PH-MTHAKUR with PID 21756 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 15:41:06,735 | DEBUG | c.e.d.AuthenticationTest | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 15:41:06,736 | INFO | c.e.d.AuthenticationTest | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 15:41:13,556 | INFO | c.e.d.AuthenticationTest | [main] | Started AuthenticationTest in 7.104 seconds (JVM running for 8.807) | 
2019-10-25 15:41:13,978 | DEBUG | c.e.d.c.CartController | [http-nio-auto-1-exec-2] | create user request : udacity | 
2019-10-25 15:41:14,186 | INFO | c.e.d.c.CartController | [http-nio-auto-1-exec-2] | user creation success : with username : udacity | 
2019-10-25 15:41:14,437 | INFO | c.e.d.c.CartController | [main] | Item added to cart successfully with item id : 1 | 
2019-10-25 15:41:14,443 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 15:41:14,444 | INFO | c.e.d.c.CartController | [main] | Item removed from cart with id : 2 | 
2019-10-25 15:41:14,444 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 15:41:14,488 | INFO | c.e.d.ECommerceApplicationTests | [main] | Starting ECommerceApplicationTests on PH-MTHAKUR with PID 21756 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 15:41:14,488 | DEBUG | c.e.d.ECommerceApplicationTests | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 15:41:14,489 | INFO | c.e.d.ECommerceApplicationTests | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 15:41:16,084 | INFO | c.e.d.ECommerceApplicationTests | [main] | Started ECommerceApplicationTests in 1.627 seconds (JVM running for 11.335) | 
